id,category,carbs,calories,protein,fats,fiber,name,restaurant,alcohol,food_type,quantity,unit,old_quantity,show
3282,Other vegetables,23,94,1,0,0,"Sweetpotatofrozen,Cooked,Bkd,W/Salt","",1,veg,100,gm,100,t
3283,Other vegetables,34,121,0,0,0,"Taro,Cooked,With Salt","",5,veg,100,gm,100,t
3284,Other vegetables,4,22,2,0,0,"Taro,Leaves,Cooked,Stmd,W/Salt","",2,veg,100,gm,100,t
3285,Other vegetables,3,16,0,0,0,"Taro,Shoots,Cooked,W/Salt","",0,veg,100,gm,100,t
3286,Other vegetables,6,50,4,0,0,"Taro,Tahitian,Cooked,W/Salt","",0,veg,100,gm,100,t
3287,fruits,4,20,0,0,0,"Tomatoes,Red,Ripe,Raw,November Thru May Average","",1,veg,100,gm,100,t
3288,fruits,4,20,0,0,0,"Tomatoes,Red,Ripe,Raw,June Thru October Average","",1,veg,100,gm,100,t
3289,fruits,5,26,1,0,0,"Tomatoes,Red,Ripe,Cooked,Bld,W/Salt","",1,veg,100,gm,100,t
3290,fruits,4,18,0,0,0,"Tomatoes,Red,Ripe,Canned,Whl,No Salt","",1,veg,100,gm,100,t
3291,fruits,4,17,0,0,0,"Tomato Juc,Canned,Wo/Salt","",0,veg,100,gm,100,t
3292,fruits,19,80,3,0,0,"Tomato Products,Canned,Paste,W/Salt","",4,veg,100,gm,100,t
3293,fruits,9,38,1,0,0,"Tomato Products,Canned,Puree,W/Salt","",2,veg,100,gm,100,t
3294,Other vegetables,4,15,0,0,0,"Turnips,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3295,Other vegetables,4,17,1,0,0,"Turnipsfrozen,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3296,Other vegetables,4,10,1,0,0,"Turnip Grns,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3297,Other vegetables,4,23,3,0,0,"Turnip Grnsfrozen,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
